id_objekta,naziv,tip_objekta,opis,prosjecna_ocjena,cjenovni_rang,vlasnik,dostupna_dostava,datum_unosa,ulica,kucni_broj,grad,latitude,longitude,radno_vrijeme,web_stranica,kontakt_broj,email,tagovi
1,Heritage,snack bar,Heritage is a tiny snack bar.,4.80,$,Silvije Polanšćak,f,2025-10-23 15:05:13.12959,Petrinjska ulica,14,Zagreb,45.81080600,15.97969600,12:15–20:00,https://foodheritage.hr/heritage/,,croatianfoodheritage@gmail.com,Plaćanje karticom|Terasa
2,La Štruk,restoran,"Serving only strukli, traditional Croatian specialty from Zagreb area.",4.60,$,Alen Markulin,f,2025-10-23 15:20:22.418532,Skalinska ulica,5,Zagreb,45.81493600,15.97685800,11:00–22:00,https://www.lastruk.com,+38514837701,,Plaćanje karticom|Terasa|Vegetarijanski|WiFi
3,Batak,restoran,"Najpoznatiji smo po sočnim i ukusnim jelima s roštilja poput nezaobilaznih mazalica, sočnih ćevapa, gurmanske pljeskavice, ili punjene vješalice.",4.60,$$,Boris Stojić,t,2025-10-23 15:28:57.038325,Avenija Većeslava Holjevca,62,Zagreb,45.77769852,15.97968674,11:00–23:00,https://batak.hr,+38516471111,,Parking|Plaćanje karticom|Terasa|WiFi
3,Batak,restoran,"Najpoznatiji smo po sočnim i ukusnim jelima s roštilja poput nezaobilaznih mazalica, sočnih ćevapa, gurmanske pljeskavice, ili punjene vješalice.",4.60,$$,Boris Stojić,t,2025-10-23 15:28:57.038325,Ulica Ivana Tkaličića,70,Zagreb,45.81752000,15.97626000,11:00–23:00,https://batak.hr,+38516471111,,Parking|Plaćanje karticom|Terasa|WiFi
3,Batak,restoran,"Najpoznatiji smo po sočnim i ukusnim jelima s roštilja poput nezaobilaznih mazalica, sočnih ćevapa, gurmanske pljeskavice, ili punjene vješalice.",4.60,$$,Boris Stojić,t,2025-10-23 15:28:57.038325,Ulica Jakova Gotovca,1,Zagreb,45.81519300,15.99443300,11:00–23:00,https://batak.hr,+38516471111,,Parking|Plaćanje karticom|Terasa|WiFi
3,Batak,restoran,"Najpoznatiji smo po sočnim i ukusnim jelima s roštilja poput nezaobilaznih mazalica, sočnih ćevapa, gurmanske pljeskavice, ili punjene vješalice.",4.60,$$,Boris Stojić,t,2025-10-23 15:28:57.038325,Gajeva Ulica,10,Zagreb,45.81090700,15.97638400,12:00–00:00,https://batak.hr,+38516471111,,Parking|Plaćanje karticom|Terasa|WiFi
4,Kiyomi,restoran,"KIYOMI is an Asian restaurant passionate about creating delicious and unique dishes that blend traditional Dim Sum, Robata, and Sushi flavors.",4.80,$$,Vid Nikolić,f,2025-10-23 15:41:26.470459,Gajeva Ulica,10,Zagreb,45.81090710,15.97638390,12:00–00:00,https://www.kiyomi.hr,+38516474897,reservations@kiyomi.hr,Japanska hrana|Plaćanje karticom|WiFi
5,Pizzeria Zero Zero,pizzeria,"At this place guests can delve deep into delicious dishes, and order good seafood pizza, tuna and meat pizza.",4.50,$$,Siniša Matijević,t,2025-10-23 15:50:34.271809,Vlaška ulica,35,Zagreb,45.81398000,15.98198100,11:30–23:00,https://zerozero.com.hr/about-us/,+385995266444,,Parking|Plaćanje karticom|Terasa|Vegetarijanski|WiFi
6,Bacchus Jazz Bar,kafić,"Laidback jazz sessions, beer & coffee at a cellar bar with a courtyard sheltered by fig trees.",4.70,$,Duje Oman,f,2025-10-23 16:02:43.649361,Trg Kralja Tomislava,16,Zagreb,45.80642300,15.97769400,09:00–00:00,https://www.facebook.com/bacchusjazzbar,+38598322804,,Plaćanje karticom|Terasa
7,Krivi Put,kafić,Krivi Put is the place to go to when you feel like avoiding responsibilities.,4.80,$,Nenad Barbić,f,2025-10-23 16:11:21.053375,Savska cesta,14,Zagreb,45.80477600,15.96555100,08:00–00:00,https://www.facebook.com/pages/Krivi-Put/134656319955740,+38514837701,,Plaćanje karticom|Terasa
8,Botaničar,kafić,"Botaničar, a budding flower of creativity on Zagreb’s urban map. Bar with an original botanical twist. Home of arts and crafts, nurturing those little pleasures of life.",4.60,$,Marko Krneta,f,2025-10-23 16:16:29.797888,Trg Marka Marulića,6,Zagreb,45.80627400,15.97139700,08:00–23:00,https://www.facebook.com/BotanicarZagreb/,,botanicar.zg@gmail.com,Parking|Plaćanje karticom|Terasa|WiFi
9,Mr. Fogg,kafić,The first steampunk bar in Zagreb.,4.70,$,Emil Tocauer,f,2025-10-23 16:23:56.099344,Martićeva ulica,31,Zagreb,45.81243100,15.99149200,07:00–00:00,https://www.facebook.com/BarMrFogg,+38516272650,mr.fogg.zagreb@gmail.com,Plaćanje karticom|Terasa
10,Program Bar,kafić,This cafe provides you with nice food and a place to rest after a long walk.,4.80,$,Saša Žerajić,f,2025-10-23 16:28:27.104604,Martićeva ulica,14F,Zagreb,45.81207000,15.98930000,07:00–23:00,https://www.instagram.com/program_bar/,+385989938279,program.programbar@gmail.com,Klimatizacija|Plaćanje karticom|Terasa
10,Program Bar,kafić,This cafe provides you with nice food and a place to rest after a long walk.,4.80,$,Saša Žerajić,f,2025-10-23 16:28:27.104604,Petrova ulica,21,Zagreb,45.81690300,15.99548900,08:00–23:00,https://www.instagram.com/program_bar/,+385989938279,program.programbar@gmail.com,Klimatizacija|Plaćanje karticom|Terasa
